,criterion,max_depth,max_features,n_estimators
3  TAIGA,entropy,10,sqrt,500
5  NORTHERN FORESTS,gini,15,log2,500
6  NORTHWESTERN FORESTED MOUNTAINS,gini,20,sqrt,500
7  MARINE WEST COAST FOREST,entropy,10,sqrt,500
8  EASTERN TEMPERATE FORESTS,gini,20,log2,500
9  GREAT PLAINS,entropy,15,log2,500
10  NORTH AMERICAN DESERTS,gini,15,sqrt,300
11  MEDITERRANEAN CALIFORNIA,gini,15,sqrt,300
12  SOUTHERN SEMIARID HIGHLANDS,entropy,10,log2,300
13  TEMPERATE SIERRAS,entropy,15,log2,300
15  TROPICAL WET FORESTS,gini,10,log2,300
